,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company response,Timely response?,Consumer disputed?
22894,1192290,Debt collection,Non-federal student loan,Disclosure verification of debt,Not given enough info to verify debt,MO,63138,1/14/2015,1/16/2015,Closed with explanation,Yes,
22895,1195647,Credit card,,Other,,MD,20720,1/14/2015,1/20/2015,Closed with explanation,Yes,Yes
22896,1192772,Credit card,,Convenience checks,,AK,99901,1/14/2015,1/14/2015,Closed with explanation,Yes,
22897,1195655,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,GA,30281,1/14/2015,1/15/2015,Closed with explanation,Yes,
22898,1193498,Bank account or service,Savings account,"Account opening, closing, or management",,TX,77584,1/14/2015,1/16/2015,Closed with explanation,Yes,Yes
22899,1192273,Payday loan,,Charged fees or interest I didn't expect,,CA,90008,1/14/2015,1/16/2015,Closed with explanation,Yes,
22900,1193245,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TX,76087,1/14/2015,1/16/2015,Closed with non-monetary relief,Yes,
22901,1193147,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60201,1/14/2015,1/14/2015,Closed with explanation,Yes,Yes
22902,1192703,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,NJ,8037,1/14/2015,1/14/2015,Closed with explanation,Yes,
22903,1192638,Student loan,Non-federal student loan,Dealing with my lender or servicer,,MA,2176,1/14/2015,1/14/2015,Closed with explanation,Yes,
22904,1192270,Credit reporting,,Incorrect information on credit report,Account status,VA,22192,1/14/2015,1/26/2015,Closed with non-monetary relief,Yes,
22905,1195875,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,IL,60089,1/14/2015,1/20/2015,Closed with explanation,Yes,Yes
22906,1192269,Credit reporting,,Incorrect information on credit report,Account status,VA,22192,1/14/2015,1/26/2015,Closed with explanation,Yes,
22907,1192637,Credit card,,Other,,FL,33414,1/14/2015,1/16/2015,Closed with explanation,Yes,
22908,1192399,Consumer loan,Title loan,Payment to acct not credited,,TX,78526,1/14/2015,1/16/2015,Closed with explanation,Yes,Yes
22909,1192291,Debt collection,Non-federal student loan,Disclosure verification of debt,Not given enough info to verify debt,MO,63138,1/14/2015,1/16/2015,Closed with explanation,Yes,
22910,1192542,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,77379,1/14/2015,1/29/2015,In progress,Yes,
22911,1192301,Bank account or service,Checking account,Problems caused by my funds being low,,AL,36078,1/14/2015,1/16/2015,Closed with explanation,Yes,Yes
22912,1192365,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,PA,18621,1/14/2015,1/14/2015,Closed with explanation,Yes,
22913,1192313,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,MD,21108,1/14/2015,1/21/2015,Closed with explanation,Yes,Yes
22914,1192356,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MD,20774,1/14/2015,1/16/2015,Closed with explanation,Yes,
22915,1192348,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,PA,19380,1/14/2015,1/29/2015,Closed with explanation,Yes,
22916,1192317,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33139,1/14/2015,1/21/2015,Closed with explanation,Yes,
22917,1192453,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,OK,73501,1/14/2015,2/11/2015,Closed with explanation,Yes,
22918,1192403,Debt collection,,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,IL,61822,1/14/2015,1/21/2015,Closed with explanation,Yes,Yes
22919,1192536,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,NY,11218,1/14/2015,1/28/2015,Closed with explanation,Yes,
22920,1192437,Consumer loan,Vehicle loan,Managing the loan or lease,,MO,64118,1/14/2015,1/20/2015,Closed with explanation,Yes,
22921,1192426,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MI,48059,1/14/2015,1/16/2015,Closed with explanation,Yes,
22922,1192411,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,WI,54655,1/14/2015,1/14/2015,Closed with monetary relief,Yes,
22923,1192527,Consumer loan,Installment loan,Managing the loan or lease,,WI,53404,1/14/2015,1/15/2015,Closed with explanation,Yes,
22924,1192464,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,AL,35208,1/14/2015,1/16/2015,Closed with explanation,Yes,
22925,1192518,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Seized/Attempted to seize property,PA,17104,1/14/2015,2/27/2015,Closed with explanation,Yes,
22926,1192507,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,PR,910,1/14/2015,1/21/2015,Closed with explanation,Yes,
